Dies,Percent,MCC
HLP,57%,MCC-1
T2D,28%,MCC-1
HTN,28%,MCC-1
OBE,28%,MCC-1
T2D,40%,MCC-2
OBE,40%,MCC-2
HUA,20%,MCC-2
HTN,60%,MCC-2
HLP,60%,MCC-2
FLD,20%,MCC-2
FLD,72%,MCC-345
OBE,36%,MCC-345
HUA,27%,MCC-345
HTN,63%,MCC-345
HLP,54%,MCC-345
T2D,50%,MCC-6
OBE,66%,MCC-6
HUA,50%,MCC-6
HTN,66%,MCC-6
HLP,66%,MCC-6
FLD,100%,MCC-6
OBE,100%,MCC-7
T2D,50%,MCC-7
HUA,50%,MCC-7
HTN,100%,MCC-7
HLP,100%,MCC-7
FLD,100%,MCC-7
OBE,100%,MCC-8
T2D,100%,MCC-8
HUA,100%,MCC-8
HTN,100%,MCC-8
HLP,100%,MCC-8
FLD,100%,MCC-8
