Rank,Number of drug combinations,MCC ,Drugs,DTC,PPMS,C1 (Therapeutic Efficacy Synergy),C2 (Common Action Penalty),C3 (Pathogenic Synergy Penalty),C4 (Action Conflict Penalty),C5 (Target Misdirection Penalty),C6 (Pathway Coverage Score)
Top1,2,MCC-1,nebivolol + colestipol,100.00% (HLP),1.8558,LEP(+1.86),LEP(-0.7),None,None,None,"Hit:2/2 (Brown Adipocyte Oxidation,Cold Thermoregulation)"
Top1,2,MCC-2,aliskiren + perindopril,"100.00% (HLP,HTN)",1.1538,CDHR2(+1.22);GHRL(+1.19);HAVCR1(+0.71);IL1RN(+1.68);IL6(+1.83);LGALS4(+0.94),None,ADGRG1(-0.7);GDF15(-0.7);IGFBP2(-0.7),None,ADGRG1(-0.46);GDF15(-0.51);IGFBP2(-0.42),"Hit:4/4 (Appetite regulation,Fatty acid transport,IL-1 negative regulation,Response chemical Endogenous)"
Top1,3,MCC-2,aliskiren + glimepiride + perindopril,"100.00% (HLP,HTN)",1.2783,CDHR2(+1.8);GHRL(+1.83);HAVCR1(+1.36);IL1RN(+2.47);IL6(+2.66);LGALS4(+1.6),None,ADGRG1(-1.4);GDF15(-1.4);IGFBP2(-1.4),None,ADGRG1(-0.75);GDF15(-0.81);IGFBP2(-0.75),"Hit:4/4 (Appetite regulation,Fatty acid transport,IL-1 negative regulation,Response chemical Endogenous)"
Top1,4,MCC-2,aliskiren + glimepiride + vildagliptin + perindopril,"100.00% (HLP,HTN)",1.3962,CDHR2(+2.46);GHRL(+2.48);HAVCR1(+1.85);IL1RN(+3.29);IL6(+3.52);LGALS4(+2.25),None,ADGRG1(-2.1);GDF15(-2.1);IGFBP2(-2.1),None,ADGRG1(-1.08);GDF15(-1.13);IGFBP2(-1.08),"Hit:4/4 (Appetite regulation,Fatty acid transport,IL-1 negative regulation,Response chemical Endogenous)"
Top1,2,MCC-345,glimepiride + perindopril,"66.67% (HLP,HTN)",0.6639,BST2(+1.29);CCL16(+0.91);CCL18(+1.28);CHI3L1(+1.31);GGT1(+0.83);GPR37(+0.77);HAVCR1(+0.76);IGFBP4(+0.48);IL1RN(+1.54);IL6(+2.15);MMP3(+1.33);RARRES2(+1.7),None,ACE2(-0.7);FGF21(-0.7);IGFBP2(-0.7);LEP(-0.7);PLAT(-0.7);PPY(-0.7);SLC39A5(-0.7),IGFBP4(-0.7),ACE2(-0.59);FGF21(-0.71);IGFBP2(-0.42);LEP(-1.02);PLAT(-0.81);PPY(-0.44);SLC39A5(-0.27),"Hit:11/18 (Chemokine signaling pathway,Cytokine-cytokine receptor interaction,IL-17 signaling pathway,JAK-STAT signaling pathway,Lipid and atherosclerosis,Malaria,PI3K-Akt signaling pathway,Rheumatoid arthritis,TNF signaling pathway,Transcriptional misregulation in cancer,Viral protein interaction with cytokine and cytokine receptor)"
Top1,3,MCC-345,glimepiride + bisoprolol + gemfibrozil,"66.67% (HLP,HTN)",0.7023,BST2(+1.97);CCL16(+1.61);CCL18(+2.01);CHI3L1(+1.99);GGT1(+1.44);GPR37(+1.29);HAVCR1(+0.68);IGFBP4(+1.67);IL1RN(+2.44);IL6(+3.09);MMP3(+1.97);RARRES2(+2.48),None,ACE2(-1.4);FGF21(-1.4);IGFBP2(-1.4);LEP(-1.4);PLAT(-1.4);PPY(-1.4);SLC39A5(-1.4),HAVCR1(-0.7),ACE2(-0.87);FGF21(-1.21);IGFBP2(-0.96);LEP(-1.49);PLAT(-1.22);PPY(-0.68);SLC39A5(-0.51),"Hit:11/18 (Chemokine signaling pathway,Cytokine-cytokine receptor interaction,IL-17 signaling pathway,JAK-STAT signaling pathway,Lipid and atherosclerosis,Malaria,PI3K-Akt signaling pathway,Rheumatoid arthritis,TNF signaling pathway,Transcriptional misregulation in cancer,Viral protein interaction with cytokine and cytokine receptor)"
Top1,4,MCC-345,glimepiride + glymidine + bisoprolol + gemfibrozil,"66.67% (HLP,HTN)",0.7315,BST2(+2.63);CCL16(+2.2);CCL18(+2.68);CHI3L1(+2.63);GGT1(+1.9);GPR37(+1.8);HAVCR1(+1.31);IGFBP4(+2.31);IL1RN(+3.22);IL6(+4.12);MMP3(+2.63);RARRES2(+3.21),None,ACE2(-2.1);FGF21(-2.1);IGFBP2(-2.1);LEP(-2.1);PLAT(-2.1);PPY(-2.1);SLC39A5(-2.1),HAVCR1(-0.7),ACE2(-1.24);FGF21(-1.58);IGFBP2(-1.29);LEP(-1.95);PLAT(-1.62);PPY(-0.98);SLC39A5(-0.82),"Hit:11/18 (Chemokine signaling pathway,Cytokine-cytokine receptor interaction,IL-17 signaling pathway,JAK-STAT signaling pathway,Lipid and atherosclerosis,Malaria,PI3K-Akt signaling pathway,Rheumatoid arthritis,TNF signaling pathway,Transcriptional misregulation in cancer,Viral protein interaction with cytokine and cytokine receptor)"
Top1,2,MCC-6,glimepiride + telmisartan,"50.00% (HLP,HTN,T2D)",1.3849,CCL18(+1.58);CCL20(+1.7);CCL7(+1.68);CD163(+1.84);CHI3L1(+1.34);CRH(+1.3);FABP5(+0.69);GAST(+1.4);GPR37(+1.2);HGF(+1.71);HSPB6(+0.78);IL1RN(+0.93);IL6(+2.25);LGALS4(+1.3);LPL(+1.63);MSR1(+0.75);OSM(+1.66);PYY(+1.78);RARRES2(+1.6);STC1(+1.33);VMO1(+1.32),None,ADGRG1(-0.7);GDF15(-0.7);IGFBP1(-0.7);IGFBP2(-0.7);LDLR(-0.7);LEP(-0.7);SHBG(-0.7),HAVCR1(-0.7),ADGRG1(-0.33);GDF15(-0.56);IGFBP1(-0.47);IGFBP2(-0.46);LDLR(-0.68);LEP(-1.08);SHBG(-0.73),"Hit:9/9 (Brown Adipocyte Oxidation,Fatty acid transport,Glucagon Secretion,Glucose metabolism response,Immune stress response,Intestinal Lpid Absorption,Intracellular signal regulation,Myeloid leukocyte migration,Response chemical Endogenous)"
Top1,3,MCC-6,glimepiride + vildagliptin + telmisartan,"50.00% (HLP,HTN,T2D)",1.6919,CCL18(+2.44);CCL20(+2.58);CCL7(+2.56);CD163(+2.77);CHI3L1(+1.88);CRH(+2.09);FABP5(+0.86);GAST(+2.24);GPR37(+1.85);HAVCR1(+0.54);HGF(+2.49);HSPB6(+1.46);IL1RN(+1.68);IL6(+3.39);LGALS4(+1.95);LPL(+2.38);MSR1(+1.39);OSM(+2.53);PYY(+2.7);RARRES2(+2.4);STC1(+2.0);VMO1(+1.95),None,ADGRG1(-1.4);GDF15(-1.4);IGFBP1(-1.4);IGFBP2(-1.4);LDLR(-1.4);LEP(-1.4);SHBG(-1.4),HAVCR1(-0.7),ADGRG1(-0.67);GDF15(-0.88);IGFBP1(-0.77);IGFBP2(-0.79);LDLR(-0.99);LEP(-1.65);SHBG(-1.13),"Hit:9/9 (Brown Adipocyte Oxidation,Fatty acid transport,Glucagon Secretion,Glucose metabolism response,Immune stress response,Intestinal Lpid Absorption,Intracellular signal regulation,Myeloid leukocyte migration,Response chemical Endogenous)"
Top1,4,MCC-6,glimepiride + vildagliptin + glymidine + telmisartan,"50.00% (HLP,HTN,T2D)",1.9858,CCL18(+3.3);CCL20(+3.46);CCL7(+3.43);CD163(+3.71);CHI3L1(+2.53);CRH(+2.8);FABP5(+1.35);GAST(+2.98);GPR37(+2.35);HAVCR1(+1.17);HGF(+3.3);HSPB6(+2.14);IL1RN(+2.42);IL6(+4.47);LGALS4(+2.55);LPL(+3.08);MSR1(+1.97);OSM(+3.26);PYY(+3.47);RARRES2(+3.08);STC1(+2.6);VMO1(+2.57),None,ADGRG1(-2.1);GDF15(-2.1);IGFBP1(-2.1);IGFBP2(-2.1);LDLR(-2.1);LEP(-2.1);SHBG(-2.1),HAVCR1(-0.7),ADGRG1(-0.97);GDF15(-1.17);IGFBP1(-1.1);IGFBP2(-1.12);LDLR(-1.3);LEP(-2.15);SHBG(-1.5),"Hit:9/9 (Brown Adipocyte Oxidation,Fatty acid transport,Glucagon Secretion,Glucose metabolism response,Immune stress response,Intestinal Lpid Absorption,Intracellular signal regulation,Myeloid leukocyte migration,Response chemical Endogenous)"
